t,x,tf,ts
0.73340315,0.92,1.0000645,1.0000025
0.7792969,0.757,0.9998623,0.9993484
0.6118719,0.398,1.2855748,1.6544421
0.112678126,0.823,1.0000197,1.0002353
0.7196531,0.546,1.1249338,1.3230207
0.8255531,0.21,2.7634888,3.2531295
0.5565781,0.754,1.0000694,0.9999354
0.23543437,0.986,1.0000598,1.0001309
0.11102188,0.926,1.0000323,1.0002203
0.5275125,0.838,1.0000646,1.0000308
0.77017814,0.152,2.840014,3.3718462
0.2827969,0.964,1.0000638,1.0001055
0.9118125,0.898,1.0000688,0.9999248
0.42676562,0.576,1.0000782,0.9998534
0.29675624,0.318,1.0001217,0.9995723
0.3042344,0.983,1.0000658,1.0000955
0.69867814,0.7,0.9998517,0.9990374
0.006975,0.768,0.99997544,1.0002446
0.9119656,0.374,2.3528128,2.8306265
0.734525,0.666,0.99983346,0.9972328
0.09321562,0.345,0.9999554,1.0001704
0.53171873,0.431,1.0031183,0.999923
0.14410312,0.19,0.99996877,1.0001193
0.45708126,0.688,1.0000658,0.99999404
0.56865937,0.893,1.0000657,1.0000378
0.9042063,0.206,2.94697,3.380002
0.2602875,0.045,1.1012416,2.1454902
0.91055626,0.588,1.5218159,1.915337
0.58045936,0.879,1.0000652,1.0000323
0.25195,0.495,1.0000218,1.000204
0.77905,0.903,1.0000662,0.9999027
0.38664374,0.693,1.0000575,1.0000677
0.87009686,0.646,1.22787,1.5012541
0.052496877,0.77,0.9999887,1.0002515
0.023896875,0.262,0.9999716,1.0000726
0.95607185,0.567,1.7279373,2.1553173
0.68219376,0.386,1.5780905,2.062109
0.30955625,0.546,1.0000466,1.0001304
0.46715313,0.279,1.2349685,1.6215484
0.4945906,0.971,1.0000707,1.0000473
0.22500312,0.913,1.0000551,1.0001438
0.03591875,0.811,0.9999901,1.000253
0.48319688,0.196,1.7021166,2.4044042
0.6902437,0.695,0.999859,0.9990169
0.44315624,0.02,2.2668934,3.7726874
0.3841,0.708,1.0000565,1.000071
0.44604063,0.139,1.8294278,2.696978
0.12538438,0.589,0.99998116,1.0002426
0.74691874,0.103,2.9425387,3.5245566
0.26675624,0.447,1.0000349,1.0001838
0.41478124,0.298,1.0156709,1.0417986
0.7092094,0.138,2.7421746,3.337543
0.6320094,0.392,1.3779235,1.7984096
0.1558,0.01,0.9999832,0.99967813
0.71251565,0.504,1.2297556,1.5312507
0.09795625,0.945,1.0000312,1.0002248
0.11436875,0.223,0.9999653,1.0001199
0.31944376,0.983,1.0000669,1.0000883
0.47967812,0.585,1.0000734,0.9995748
0.89074063,0.713,1.1083921,1.2713625
0.6482281,0.286,1.909603,2.4897857
0.34482813,0.663,1.000052,1.0000998
0.94904375,0.381,2.4241872,2.8872476
0.10993125,0.32,0.99995565,1.000172
0.8248625,0.017,3.2375512,3.9194193
0.94948125,0.869,0.99980855,0.9992212
0.546725,0.948,1.0000685,1.0000458
0.7048,0.698,0.9998294,0.99903977
0.22241563,0.005,1.0011871,1.0042955
0.16214688,0.379,0.9999621,1.0002218
0.79780936,0.771,0.9998791,0.9994314
0.27048126,0.949,1.000062,1.0001123
0.66192186,0.372,1.56689,2.0564246
0.87855935,0.125,3.1345582,3.5799294
0.88411564,0.499,1.772475,2.2277093
0.30265313,0.238,1.0001259,0.9969592
0.15735,0.591,0.99999356,1.0002414
0.23801562,0.281,1.0000565,1.0001758
0.82769686,0.41,1.9583601,2.4555392
0.16788438,0.301,0.9999621,1.0002042
0.6796687,0.9,1.0000645,1.0000128
0.66630936,0.251,2.1375928,2.7328162
0.55574685,0.855,1.0000651,1.0000287
0.031365626,0.416,0.99996006,1.0001546
0.9491,0.969,1.0001321,0.9999697
0.10648125,0.952,1.0000343,1.0002184
0.46907812,0.25,1.3714174,1.8873696
0.6698125,0.427,1.3688718,1.770886
0.9013375,0.717,1.1212863,1.2986451
0.74015,0.84,1.0000601,0.999748
0.22305937,0.232,1.000049,1.0001781
0.39756563,0.062,1.9570683,3.2572427
0.1452,0.496,0.99997115,1.0002359
0.297875,0.627,1.0000424,1.0001432
0.7816188,0.334,2.1386638,2.6664305
0.3408125,0.64,1.0000513,1.0001029
0.102390625,0.09,1.0000021,0.9999453
0.108625,0.754,1.0000067,1.000244
0.85420626,0.612,1.2859453,1.5976458
0.38711563,0.635,1.0000602,1.0000491
0.29645938,0.951,1.0000638,1.0000986
0.16205625,0.949,1.0000464,1.0001825
0.39565313,0.828,1.0000627,1.0000633
0.40058124,0.301,1.0026691,0.9974072
0.171225,0.344,0.9999639,1.0002178
0.22836563,0.282,1.0000334,1.0002043
0.81301564,0.163,2.8982453,3.3920674
0.49112812,0.95,1.0000699,1.0000467
0.47385937,0.28,1.2570955,1.6634494
0.3158219,0.39,1.000097,0.9998332
0.58980936,0.364,1.3424414,1.7587782
0.123315625,0.565,0.9999757,1.0002401
0.87333125,0.542,1.5772123,1.9956039
0.51624376,0.612,1.0000638,0.99948764
0.067865625,0.639,0.99997187,1.0002388
0.45482188,0.946,1.0000695,1.0000497
0.480125,0.791,1.0000634,1.0000334
0.7423375,0.417,1.6524836,2.1325877
0.6534375,0.933,1.0000646,1.0000429
0.8969531,0.668,1.233427,1.5063994
0.36150625,0.029,1.8821064,3.57963
0.68282187,0.772,1.0000513,0.9995929
0.24235937,0.536,1.0000197,1.0002078
0.7216719,0.832,1.0000628,0.9997724
0.3302844,0.812,1.0000588,1.0000921
0.43728438,0.381,0.9999213,0.9957864
0.7785,0.095,3.028861,3.5857625
0.91590625,0.11,3.230041,3.6507258
0.57039374,0.385,1.1953105,1.4968537
0.11818125,0.368,0.9999547,1.0001961
0.15195,0.613,0.99999595,1.0002419
0.2038375,0.458,0.9999918,1.000236
0.006190625,0.528,0.9999615,1.0001829
0.24265938,0.481,1.0000168,1.0002143
0.22856562,0.248,1.0000546,1.0001775
0.41698125,0.829,1.0000631,1.0000571
0.08230625,0.872,1.0000162,1.0002428
0.79638124,0.016,3.1928778,3.9190207
0.6008437,0.803,1.0000682,0.99995506
0.03535625,0.923,1.0000076,1.0002526
0.26955312,0.007,1.3095876,3.7542048
0.5889469,0.935,1.0000666,1.0000453
0.94184065,0.943,1.0001255,0.9999796
0.41260624,0.256,1.1177863,1.3654395
0.32603437,0.927,1.0000651,1.0000855
0.24877812,0.286,1.0000795,1.0001229
0.2745,0.016,1.3590537,3.5878773
0.58465314,0.71,1.0000694,0.99970853
0.6987187,0.058,2.9518366,3.672933
0.8776906,0.63,1.2938629,1.6055086
0.39635313,0.852,1.0000637,1.0000614
0.5345156,0.199,1.9032916,2.599627
0.113890626,0.096,0.999998,0.9999629
0.20724687,0.321,0.9999902,1.0002266
0.7149125,0.723,0.99988544,0.99911845
0.7131094,0.981,1.0000635,1.0000618
0.7074906,0.392,1.6400055,2.1311502
0.5959844,0.843,1.0000654,1.0000061
0.7468031,0.915,1.0000651,0.99998176
0.13539375,0.102,0.99999094,0.9999862
0.8837562,0.925,1.0000765,0.9997952
0.24771562,0.627,1.000031,1.0001856
0.8973125,0.699,1.1542164,1.3658609
0.596575,0.007,2.7790813,3.9392185
0.7616094,0.861,1.0000618,0.99977994
0.26402813,0.696,1.0000422,1.0001564
0.8199844,0.363,2.1326308,2.6438127
0.9523906,0.884,0.9999324,0.99962986
0.73768437,0.431,1.5793229,2.04137
0.9394031,0.83,1.0042602,1.0091889
0.9441625,0.857,0.9998797,0.99930453
0.6187062,0.892,1.0000647,1.0000297
0.20225,0.625,1.0000169,1.0002192
0.055825,0.886,1.000009,1.0002499
0.24576876,0.628,1.0000308,1.0001872
0.60727185,0.25,1.932257,2.5491657
0.03181875,0.075,1.0000128,0.99986875
0.15582187,0.361,0.99995923,1.0002148
0.7082281,0.437,1.4574994,1.887786
0.58449376,0.526,0.99988115,0.99647546
0.6236219,0.97,1.0000668,1.0000522
0.7959344,0.531,1.3851824,1.758858
0.6004375,0.173,2.2762318,2.9590807
0.80602187,0.131,2.9837513,3.4892182
0.083221875,0.978,1.0000306,1.0002271
0.5127406,0.855,1.0000651,1.0000379
0.15208125,0.591,0.9999913,1.0002421
0.06951875,0.56,0.99996245,1.000224
0.020328125,0.935,1.0000042,1.000255
0.03880625,0.977,1.0000168,1.0002469
0.6475594,0.001,2.907013,3.990479
0.92885,0.131,3.2016091,3.6063838
0.334725,0.152,1.2110425,1.7559528
0.9512,0.519,1.8940316,2.3446536
0.29208437,0.346,1.0001045,0.99987996
0.6140031,0.55,0.9998871,0.99614227
0.6807219,0.334,1.8027391,2.343923
0.20119688,0.052,1.0001259,0.99968815
0.15576562,0.437,0.9999658,1.0002301
0.37029374,0.64,1.0000565,1.0000721
0.007815625,0.27,0.9999733,1.0000658
0.85108125,0.949,1.0000724,0.99992406
0.6305406,0.969,1.000067,1.0000527
0.481925,0.685,1.00007,0.9999491
0.40280625,0.871,1.0000651,1.0000595
0.57179374,0.336,1.3937014,1.8502727
0.48995626,0.698,1.0000691,0.9999552
0.40895626,0.723,1.0000594,1.0000561
0.00336875,0.522,0.99996173,1.000179
0.50077814,0.018,2.482452,3.8199267
0.5207094,0.27,1.4926306,2.0402179
0.7142031,0.101,2.8757753,3.4965277
0.4972125,0.71,1.0000687,0.9999603
0.027628126,0.01,1.0000108,0.99952734
0.29824376,0.61,1.0000418,1.0001453
0.26807812,0.883,1.0000579,1.0001192
0.28885314,0.706,1.0000468,1.0001353
0.6929656,0.559,1.0364228,1.0991969
0.93027186,0.304,2.666174,3.118567
0.4204125,0.591,1.000074,0.9999212
0.48744375,0.863,1.0000651,1.0000432
0.54485,0.158,2.1464887,2.8968368
0.1666625,0.706,1.0000187,1.000225
0.17904063,0.786,1.0000346,1.0002005
0.10385312,0.086,1.0000032,0.99993837
0.21855937,0.528,1.0000083,1.0002255
0.5506469,0.427,1.0247854,1.0683523
0.60587186,0.353,1.4466778,1.914274
0.31939688,0.8,1.0000572,1.0000991
0.279325,0.47,1.0000399,1.0001658
0.78466564,0.565,1.2412995,1.5379183
0.85775,0.683,1.1063026,1.2692579
0.0115375,0.269,0.9999728,1.0000678
0.33990937,0.841,1.0000612,1.0000839
0.7955656,0.604,1.1579484,1.3843088
0.71485937,0.179,2.6015716,3.1780767
0.95164686,0.353,2.536787,2.9926953
0.85142815,0.538,1.5263722,1.9366854
0.45525312,0.123,1.9506761,2.865512
0.78027815,0.895,1.0000653,0.9998729
0.6475469,0.306,1.8131121,2.3759446
0.5392,0.121,2.2954974,3.1134605
0.42151874,0.17,1.5534393,2.2956948
0.90308124,0.644,1.3185079,1.6378846
0.00325625,0.191,0.9999846,1.0000185
0.6600469,0.726,1.0000229,0.999372
0.7758875,0.284,2.3371267,2.8708925
0.4719375,0.539,1.0000443,0.9992254
0.799325,0.388,1.9618279,2.470251
0.4013625,0.672,1.0000596,1.0000496
0.17793438,0.797,1.0000355,1.0001993
0.22386874,0.246,1.000042,1.0001897
0.43055937,0.34,1.0007877,0.9920113
0.7287969,0.679,0.9998399,0.99853206
0.81352186,0.773,0.9998926,0.9994148
0.5980125,0.466,1.0377706,1.10633
0.63979375,0.468,1.1345285,1.3535866
0.88545,0.329,2.4591408,2.9421382
0.45114374,0.02,2.2984962,3.7771955
0.10520312,0.123,0.9999908,1.000003
0.19299063,0.819,1.0000415,1.0001833
0.6168187,0.462,1.0899905,1.2492425
0.5461063,0.126,2.2984328,3.0980067
0.82345,0.653,1.1012379,1.2602706
0.6748437,0.902,1.0000643,1.0000176
0.2301,0.751,1.0000416,1.0001689
0.17919375,0.427,0.9999745,1.0002348
0.7631094,0.185,2.7046576,3.239664
0.6463063,0.622,0.9997673,0.9986645
0.78910315,0.404,1.8610448,2.3619792
0.3321719,0.853,1.000061,1.0000863
0.31515938,0.235,1.000132,0.9951105
0.64439064,0.308,1.7922848,2.352754
0.1353375,0.568,0.99998045,1.0002422
0.1566125,0.767,1.0000252,1.0002196
0.60745,0.849,1.0000652,1.000005
0.14606562,0.022,0.9999968,0.999751
0.20520625,0.823,1.0000445,1.0001727
0.011528125,0.616,0.99996316,1.0002136
0.78353435,0.303,2.2784963,2.8084927
0.04205,0.681,0.99997187,1.0002391
0.013940625,0.81,0.9999832,1.0002512
0.5279844,0.9,1.0000665,1.0000422
0.451775,0.46,0.99990416,0.9984888
0.79060626,0.474,1.57977,2.0236068
0.5086375,0.343,1.1399671,1.3896022
0.9462094,0.668,1.3587257,1.6878215
0.92372185,0.592,1.5455106,1.9423078
0.2335625,0.482,1.0000112,1.0002207
0.92855,0.209,2.98494,3.4026089
0.35547188,0.449,1.0000902,0.9997549
0.15290312,0.15,0.9999765,1.0000798
0.8746281,0.873,1.0000255,0.99973166
0.68314373,0.949,1.0000638,1.0000484
0.6994906,0.486,1.2504975,1.5703951
0.17658438,0.894,1.0000452,1.0001811
0.2452125,0.855,1.0000538,1.0001374
0.04693125,0.87,1.0000032,1.0002528
0.8206469,0.341,2.2276769,2.7407994
0.61164373,0.884,1.0000647,1.0000274
0.94715935,0.127,3.23881,3.6305566
0.89118123,0.986,1.00008,0.99998224
0.012596875,0.82,0.99998426,1.000252
0.14886563,0.805,1.000028,1.0002178
0.94430625,0.782,1.0719886,1.1811149
0.35511562,0.57,1.0000596,1.0000613
0.40695,0.793,1.0000612,1.0000612
0.9491906,0.87,0.9998126,0.9992372
0.32127813,0.475,1.0000658,1.0000558
0.9300187,0.918,1.0001013,0.99998975
0.030290624,0.008,1.0000101,0.9995185
0.24432187,0.962,1.0000595,1.0001267
0.52243125,0.226,1.716806,2.3654609
0.777775,0.298,2.282689,2.8155107
0.9545219,0.465,2.1128664,2.5765762
0.4119375,0.909,1.000067,1.0000566
0.92485,0.119,3.223483,3.63386
0.1394,0.54,0.99997675,1.0002396
0.75909376,0.955,1.0000632,1.000033
0.3120375,0.365,1.0001053,0.9997177
0.86441565,0.404,2.0955076,2.5884063
0.14339375,0.772,1.0000216,1.0002269
0.42711875,0.53,1.0000805,0.99961865
0.91029686,0.578,1.5561093,1.9591262
0.052865624,0.463,0.99995697,1.0001881
0.8266,0.266,2.5529194,3.0549884
0.03314375,0.638,0.9999658,1.0002277
0.52542186,0.856,1.0000652,1.0000354
0.5758344,0.533,0.99980485,0.99769676
0.7170906,0.367,1.7814497,2.300294
0.42952812,0.999,1.0000716,1.000057
0.64322186,0.836,1.0000669,0.9999573
0.7031281,0.12,2.7893271,3.403481
0.64991564,0.119,2.6539502,3.3307161
0.008240625,0.691,0.9999678,1.0002307
0.9187437,0.377,2.3593726,2.834713
0.7620594,0.5,1.392303,1.778085
0.5043906,0.298,1.2999154,1.7276036
0.0360625,0.751,0.99998033,1.000248
0.00021875,0.57,0.99996173,1.000194
0.35415313,0.461,1.0000875,0.99983037
0.7476125,0.665,0.9998641,0.99638367
0.82952815,0.974,1.0000664,1.0000143
0.72396874,0.906,1.0000647,0.9999887
0.73537815,0.213,2.5200858,3.0773416
0.011678125,0.459,0.9999615,1.0001587
0.0609125,0.02,1.0000234,0.99969983
0.0365875,0.769,0.9999831,1.0002499
0.3694375,0.612,1.0000583,1.0000621
0.460275,0.088,2.1318345,3.1671534
0.070425,0.245,0.99996686,1.0000976
0.19600312,0.495,0.9999925,1.0002369
0.93925,0.197,3.0411978,3.4477086
0.63870937,0.113,2.6444535,3.3423114
0.27518126,0.56,1.0000337,1.000174
0.19041875,0.826,1.0000412,1.0001838
0.71715,0.115,2.8394227,3.4424653
0.1453125,0.839,1.0000317,1.0002134
0.40737188,0.217,1.2565515,1.7249173
0.92938125,0.38,2.3762245,2.847505
0.6941469,0.919,1.0000639,1.0000246
0.091675,0.278,0.99995995,1.000136
0.5793844,0.431,1.0771853,1.2189343
0.72006875,0.429,1.5288007,1.9813576
0.63714373,0.348,1.5829685,2.0902867
0.0318375,0.311,0.99996567,1.0001045
0.9546,0.756,1.144186,1.3405279
0.55750626,0.228,1.8494998,2.4988937
0.4196281,0.222,1.287652,1.7786237
0.5312125,0.66,1.0000737,0.9997089
0.7499156,0.711,0.9998325,0.9990344
0.77176875,0.0,3.1563988,4.0014224
0.6641,0.446,1.2797878,1.6291792
0.7491406,0.068,3.0350933,3.6660266
0.8920625,0.848,0.9999982,0.99984646
0.17034063,0.545,0.9999901,1.0002402
0.6156531,0.739,1.0000674,0.99971914
0.2412375,0.479,1.0000154,1.0002155
0.8451281,0.375,2.1580582,2.660221
0.1543375,0.381,0.99995995,1.0002189
0.68505,0.989,1.0000652,1.0000618
0.2903125,0.004,1.5128266,3.9179482
0.22655937,0.175,1.0001402,1.0000155
0.28968439,0.302,1.0001297,0.9995638
0.17868125,0.306,0.99996734,1.0002123
0.071865626,0.888,1.0000147,1.0002451
0.8420375,0.647,1.1572385,1.3776793
0.43836874,0.096,2.0028658,3.0401464
0.04529375,0.693,0.9999745,1.0002418
0.0168875,0.457,0.999961,1.0001618
0.36399376,0.654,1.000055,1.0000814
0.04005625,0.777,0.9999857,1.0002512
0.7831031,0.748,0.99985886,0.9992975
0.65998435,0.743,1.0000446,0.9995115
0.42040938,0.542,1.000082,0.99974394
0.79715,0.653,1.0490816,1.1301196
0.049371876,0.029,1.0000231,0.9997225
0.15223125,0.818,1.000031,1.0002128
0.40495938,0.39,0.99989355,0.99814534
0.9583344,0.666,1.3966751,1.7383423
0.7549344,0.15,2.8114915,3.3576608
0.23055312,0.558,1.000017,1.0002135
0.32461876,0.562,1.0000503,1.000111
0.7513969,0.043,3.0855398,3.7763157
0.33819687,0.289,1.0000088,0.99719906
0.47884062,0.027,2.3922062,3.723703
0.38039687,0.009,2.0053115,3.874352
0.8224125,0.208,2.7633839,3.254902
0.69869685,0.962,1.0000639,1.0000532
0.16296875,0.901,1.0000424,1.0001899
0.75093436,0.521,1.2860794,1.6186903
0.5787031,0.243,1.8580378,2.486364
0.21645,0.9,1.0000526,1.000152
0.58193123,0.725,1.0000716,0.999789
0.371425,0.493,1.0000837,0.99984574
0.6656344,0.465,1.2189854,1.5210805
0.59151876,0.293,1.664833,2.227709
0.040090624,0.83,0.9999945,1.0002537
0.72209686,0.299,2.1033077,2.6591568
0.94409686,0.347,2.5405164,2.9985738
0.3097031,0.392,1.0000926,0.99990785
0.55263126,0.084,2.4880214,3.3710742
0.058978125,0.135,0.99999213,0.99998975
0.94862187,0.75,1.1453048,1.343302
0.59659064,0.137,2.4229932,3.1442208
0.034296874,0.893,1.0000025,1.000254
0.12338125,0.056,1.0000072,0.99987686
0.35073438,0.556,1.0000603,1.0000592
0.6093594,0.717,1.0000626,0.99962366
0.5397437,0.364,1.1689945,1.4487281
0.41516563,0.014,2.158105,3.8265514
0.77585936,0.26,2.4386334,2.9709806
0.20465937,0.956,1.0000548,1.0001519
0.2617531,0.716,1.0000437,1.0001534
0.36713436,0.804,1.0000602,1.0000756
0.5990844,0.038,2.7501183,3.7147784
0.84635,0.491,1.6881382,2.1400144
0.29295,0.243,1.0001558,0.9980936
0.17790624,0.341,0.9999666,1.000221
0.2137,0.507,1.0000032,1.0002301
0.13340938,0.616,0.9999889,1.0002445
0.43330312,0.309,1.0276128,1.0816299
0.48399064,0.843,1.0000644,1.0000416
0.39907813,0.583,1.0000703,0.9999715
0.7981656,0.739,0.99986327,0.99867904
0.48547187,0.325,1.1257234,1.3602759
0.85538435,0.8,0.99991655,0.9993526
0.8008969,0.164,2.8685274,3.3723655
0.28100625,0.477,1.0000403,1.0001644
0.50438124,0.146,2.0460753,2.8543282
0.10974687,0.709,0.99999845,1.0002469
0.48172188,0.942,1.0000695,1.0000468
0.8786719,0.854,1.0000002,0.99982476
0.5583094,0.727,1.0000718,0.9998696
0.5923344,0.309,1.5928481,2.130277
0.5798156,0.884,1.0000653,1.0000337
0.77404374,0.249,2.4793224,3.011724
0.022275,0.901,0.9999999,1.0002555
0.69170624,0.904,1.0000645,1.0000105
0.60630625,0.698,1.0000527,0.99950635
0.53410935,0.937,1.0000684,1.0000445
0.3535375,0.17,1.2225095,1.7358538
0.48611876,0.993,1.000072,1.0000498
0.01961875,0.81,0.9999845,1.0002517
0.3701,0.469,1.0000882,0.9997345
0.81191874,0.746,0.9998374,0.99840343
0.3407969,0.665,1.0000514,1.0001026
0.023315625,0.349,0.9999641,1.0001168
0.07898437,0.779,0.99999964,1.00025
0.24120624,0.902,1.0000564,1.0001341
0.92626876,0.234,2.900629,3.329041
0.8515875,0.708,1.0449152,1.1161934
0.49371874,0.722,1.0000672,0.99998057
0.5339125,0.606,1.0000368,0.999269
0.118690625,0.601,0.9999808,1.0002435
0.31385,0.176,1.0360519,1.1445836
0.18331562,0.999,1.0000538,1.0001612
0.7559031,0.038,3.1011024,3.8015904
0.89452815,0.906,1.0000666,0.99978614
0.8433969,0.889,1.0000544,0.9996947
0.460525,0.732,1.0000635,1.0000226
0.5117375,0.886,1.000066,1.0000418
0.74324685,0.525,1.250752,1.5617458
0.2545875,0.84,1.0000536,1.0001334
0.93544376,0.166,3.1226149,3.5237556
0.094946876,0.13,0.99998975,1.0000063
0.03821875,0.796,0.99998796,1.0002522
0.05576875,0.711,0.9999794,1.0002468
0.019340625,0.011,1.0000072,0.99950075
0.3316125,0.136,1.2689784,1.9529225
0.04318125,0.822,0.9999938,1.0002534
0.62617815,0.527,1.0021651,0.99909675
0.09384687,0.0,1.0000169,0.9996551
0.62880313,0.568,0.9998739,0.9966992
0.2503656,0.609,1.00003,1.0001881
0.29745936,0.539,1.000042,1.0001477
0.62446874,0.531,1.0008926,0.99560034
0.27229062,0.764,1.0000502,1.0001351
0.29925,0.997,1.0000662,1.0000976
0.27035937,0.079,1.10609,1.7712835
0.7746969,0.442,1.656141,2.1250234
0.8901219,0.705,1.1247708,1.3070252
0.69598436,0.45,1.3674073,1.760291
0.8170781,0.131,3.0057511,3.5013819
0.022171875,0.078,1.0000113,0.99986994
0.56070626,0.84,1.0000652,1.0000211
0.38190624,0.774,1.0000592,1.0000715
0.12087812,0.43,0.99995697,1.0002145
0.38592812,0.157,1.4457006,2.1898017
0.6105594,0.299,1.7090161,2.2715144
0.06888125,0.292,0.99996185,1.0001246
0.46484375,0.294,1.1663462,1.4677329
0.19255938,0.93,1.0000515,1.000164
0.73805624,0.872,1.0000658,0.99988663
0.37745938,0.091,1.7341808,2.8686566
0.15247187,0.31,0.9999579,1.0001976
0.19501875,0.453,0.9999858,1.0002375
0.15613125,0.023,0.9999889,0.9997401
0.2312125,0.633,1.0000274,1.000197
0.7349875,0.05,3.0425053,3.7350664
